qid,ans
290,"Diffuse Large B-Cell Lymphoma (DLBCL) can present with painless swelling in the lymph nodes, unexplained weight loss, night sweats, and fever.
290,DLBCL typically causes severe joint pain and muscle cramps.
290,A common symptom of DLBCL is persistent dry skin and itching.
290,Patients with DLBCL often experience chronic fatigue and headaches.
290,The primary symptom of DLBCL is sudden onset of high blood pressure. </s><|endoftext|
"
293,"Altered sensation refers to changes in how an individual perceives sensory stimuli, such as touch, temperature, or pain.
293,Altered sensation is the process by which an organism adapts its sensory organs to function more efficiently in a new environment.
293,Altered sensation describes a condition where an individual experiences enhanced sensory perception, leading to increased awareness of all environmental stimuli.
293,Altered sensation is characterized by a complete loss of sensory perception across all sensory modalities.
293,Altered sensation involves the modification of an individual's emotional response to sensory stimuli, rather than the perception itself. </s><|endoftext|
"
295,"Blood filtration within the renal corpuscle is driven by the hydrostatic pressure gradient between the glomerulus and Bowman's capsule.
295,Blood filtration within the renal corpuscle is primarily driven by osmotic pressure differences.
295,Blood filtration within the renal corpuscle is mainly controlled by hormonal signals from the pituitary gland.
295,Blood filtration within the renal corpuscle occurs due to active transport mechanisms involving sodium pumps.
295,Blood filtration within the renal corpuscle is regulated by the concentration of electrolytes in the blood plasma. </s><|endoftext|
"
297,"One common symptom of HIV is a persistent rash on the skin.
297,HIV typically causes hair loss rather than skin rashes.
297,Skin discoloration is the primary dermatological symptom of HIV infection.
297,HIV symptoms usually manifest as severe muscle pain before any skin issues occur.
297,Frequent nosebleeds are a common early sign of HIV infection. </s> To refine the distractors further:
297,One common symptom of HIV is a persistent rash on the skin.
297,HIV primarily leads to chronic joint pain rather than skin rashes.
297,Skin lesions resembling warts are the most typical skin manifestation of HIV.
297,HIV symptoms often begin with extreme fatigue before skin changes appear.
297,Persistent coughing is more commonly associated with HIV than skin rashes. </s> The refined distractors now better avoid overlapping with the correct answer while still being plausible enough to serve as effective distractors. Here's the final version:
297,One common symptom of HIV is a persistent rash on the skin.
297,HIV primarily leads to chronic joint pain rather than skin rashes.
297,Skin lesions resembling warts are the most typical skin manifestation of HIV.
297,HIV symptoms often begin with extreme fatigue before skin changes appear.
297,Persistent coughing is more commonly associated with HIV than skin rashes. </s><|im_end|
"
300,"Aminoglycosides are a class of antibiotics effective against certain Gram-negative bacteria.
300,Aminoglycosides are primarily used to treat fungal infections.
300,Aminoglycosides are a type of antiviral medication.
300,Aminoglycosides are commonly prescribed for treating viral gastroenteritis.
300,Aminoglycosides are a form of pain relievers used in managing chronic pain conditions. </s><|endoftext|
"
303,"Symptoms of a pinched nerve in the spine may include pain, numbness, tingling, or weakness in the area affected by the nerve.
303,A pinched nerve in the spine typically results in increased flexibility and range of motion in the affected limb.
303,Pinched nerves in the spine often cause heightened sensitivity to cold temperatures in the affected region.
303,Individuals with a pinched nerve in their spine usually experience spontaneous muscle growth in the adjacent muscles.
303,The primary symptom of a pinched nerve in the spine is an immediate improvement in motor skills and coordination. </s><|endoftext|
"
304,"A rash around the waist and underarms could be caused by friction from tight clothing or excessive sweating leading to intertrigo.
304,It might be due to an allergic reaction to sunlight exposure.
304,The rash could be a result of exposure to cold temperatures.
304,It may indicate a vitamin deficiency, such as a lack of Vitamin D.
304,This type of rash can occur as a side effect of consuming too much sugar. </s><|endoftext|
"
308,"Aspiration pneumonitis is an inflammatory reaction in the lungs caused by the accidental inhalation of foreign matter into the respiratory tract.
308,Aspiration pneumonitis is a genetic disorder that affects lung development from birth.
308,Aspiration pneumonitis is a condition where the lungs produce excessive mucus due to allergen exposure.
308,Aspiration pneumonitis refers to a chronic obstructive pulmonary disease caused by long-term smoking.
308,Aspiration pneumonitis is a viral infection that primarily targets the upper respiratory system. </s><|endoftext|
"
327,"Fragile X Syndrome is a genetic disorder caused by mutations in the FMR1 gene on the X chromosome.
327,Fragile X Syndrome is primarily caused by a deficiency in vitamin B12.
327,Fragile X Syndrome can be treated effectively with antibiotics.
327,Fragile X Syndrome is characterized by excessive growth hormone production.
327,Fragile X Syndrome is a common infectious disease spread through contaminated water. </s><|endoftext|
"
328,"Effexor can cause an increase in diastolic blood pressure by approximately 3-8 mmHg.
328,Effexor primarily decreases diastolic blood pressure, leading to hypotension.
328,Effexor has no significant effect on diastolic blood pressure but may affect systolic pressure.
328,Effexor significantly reduces both systolic and diastolic blood pressure, similar to antihypertensive medications.
328,Effexor increases diastolic blood pressure by over 20 mmHg in all patients. </s><|endoftext|
"
337,"Symptoms of Coccidia and Giardia infections in humans may include diarrhea, abdominal cramps, and dehydration.
337,Coccidia and Giardia infections typically result in severe joint pain and muscle weakness in humans.
337,Common symptoms of Coccidia and Giardia infections include high fever and persistent coughing.
337,Infections caused by Coccidia and Giardia usually lead to skin rashes and hair loss in affected individuals.
337,People infected with Coccidia and Giardia often experience symptoms such as blindness and hearing loss. </s><|endoftext|
"
